id,kbo_number,vat_number,company_name,legal_form,status,street_address,city,postal_code,country,geo_latitude,geo_longitude,industry_nace_code,nace_description,company_size,employee_count,revenue_range,founding_year,website_url,main_phone,main_email,ai_description,source,created_at,updated_at,last_sync_at,sync_status
35b6deb2-91fc-4aa4-9591-169812c09446,0805083766,,#SustainableHub,Besloten Vennootschap,AC,Handelsstraat 72,Brussel,1040,BE,,,68203,"Verhuur en exploitatie van eigen of geleased niet-residentieel onroerend goed, exclusief terreinen",,,,,,,info@sustainablehub.eu,,,2026-03-07 15:55:40.368569,2026-03-07 15:55:40.368569,,pending
834bfe66-7ddc-41fa-88a3-05bcdeba426b,0793625987,,13 ANALYTICS,Besloten Vennootschap,AC,Kantersteen 47,Brussel,1000,BE,,,62200,IT & Communications,unknown,,,,,+32471777366,maxlippens@hotmail.com,,,2026-03-07 15:55:35.123573,2026-03-08 13:24:22.210242,,enriched
c47ea7f0-ee63-4d17-85dd-333c19d27e37,0647827762,,24SEA,Besloten Vennootschap,AC,Drukpersstraat 4,Brussel,1000,BE,,,71121,IT & Communications,unknown,,,,,,,,,2026-03-07 15:54:59.415264,2026-03-08 13:47:00.431377,,enriched
c4dc84f6-1d9f-49a6-a1f7-242f1af3c5b1,0700827077,,28Digital Accelerator,Internationale vereniging zonder winstoogmerk,AC,Guimardstraat 7,Brussel,1040,BE,,,82990,IT & Communications,unknown,,,,,,,,,2026-03-07 15:55:12.100242,2026-03-08 13:47:07.271798,,enriched
cfdc9088-a194-481a-aa75-89510bd961b9,0541789441,,2M-ITC,Besloten Vennootschap,AC,Louizalaan 327,Brussel,1050,BE,,,62100,IT & Communications,unknown,,,,www.2m-itc.be,023568680,info@2m-itc.be,,,2026-03-07 15:54:51.248842,2026-03-08 13:50:43.366449,,enriched
88bca2c5-fbe7-4f5e-8857-c2914fd2c8ad,0649650669,,2PM CONSULTANCY,Besloten Vennootschap,AC,Raketstraat 66,Brussel,1130,BE,,,82100,Administrative Services,unknown,,,,,,,,,2026-03-07 15:54:59.693329,2026-03-08 13:26:19.254364,,enriched
66d84dd5-3569-4346-8614-40f1b6ae10f7,0683698164,,2ememain Belgium,Besloten Vennootschap,AC,Kunstlaan 44,Brussel,1040,BE,,,62100,Professional Services,unknown,,,,,,,,,2026-03-07 15:55:08.424226,2026-03-08 13:14:50.276803,,enriched
b1b0c562-938a-4aa5-800e-ec94556ed0a8,0716860187,,31 Handelsstraat Tenant,Besloten Vennootschap,AC,Handelsstraat 31,Brussel,1000,BE,,,56309,IT & Communications,unknown,,,,,,,,,2026-03-07 15:55:14.223458,2026-03-08 13:40:31.440535,,enriched
a09eb906-c724-4f40-9b9a-1a7ca6126a78,0473005949,,3B LEASING SERVICES,Besloten Vennootschap,AC,Dieudonné Lefèvrestraat 2,Brussel,1020,BE,,,47783,Professional Services,unknown,,,,,,,,,2026-03-07 15:54:45.436977,2026-03-08 13:34:53.512413,,enriched
3e3c273c-9fde-4b54-81f7-7a72c02f662b,0465755594,,3E,Naamloze vennootschap,AC,Kalkkaai 6,Brussel,1000,BE,,,71121,"Activiteiten van ingenieurs en aanverwante technische adviseurs, exclusief landmeters-experts",,,,,,,,,,2026-03-07 15:54:44.257244,2026-03-07 15:54:44.257244,,pending
